epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.3789,1.12349,2.17413,1.06571,0.01064,0.9771,0.72666,0.50073,1.05001,2.93476,0.92464,0.00064,0.00064,0.00064
2,108.174,1.02425,1.13435,0.96448,1,0.47881,0.91162,0.66316,0.98971,2.44164,0.92889,0.00124852,0.00124852,0.00124852
3,159.429,0.99199,1.01203,0.94802,0.86484,0.83039,0.91712,0.6117,1.16166,1.80491,0.98555,0.00180477,0.00180477,0.00180477
4,209.103,0.93755,0.8966,0.94668,0.9339,0.92366,0.96136,0.68315,1.01943,1.06604,0.94445,0.0017624,0.0017624,0.0017624
5,258.679,0.90082,0.83532,0.93081,0.96821,0.92991,0.97103,0.66398,1.11918,0.99057,0.95578,0.0016832,0.0016832,0.0016832
6,308.668,0.9105,0.77245,0.94417,0.94993,0.9542,0.98237,0.72567,1.00032,0.96753,0.93678,0.001604,0.001604,0.001604
7,357.554,0.85411,0.73752,0.9307,1,0.9842,0.99485,0.78833,0.9439,0.76945,0.89576,0.0015248,0.0015248,0.0015248
8,406.815,0.85318,0.68472,0.92034,0.99829,0.9771,0.99433,0.76666,0.80087,0.66993,0.87727,0.0014456,0.0014456,0.0014456
9,531.4,0.82554,0.66285,0.90593,0.99236,0.99203,0.99477,0.77626,0.89849,0.62757,0.87947,0.0013664,0.0013664,0.0013664
10,647.963,0.79096,0.60866,0.89992,0.99109,1,0.99492,0.80517,0.79155,0.5852,0.86505,0.0012872,0.0012872,0.0012872
11,702.839,0.75244,0.5688,0.89179,0.99068,0.9771,0.99288,0.80003,0.79635,0.57453,0.84907,0.001208,0.001208,0.001208
12,753.362,0.76886,0.56865,0.90301,0.99808,0.98473,0.99397,0.81544,0.80631,0.57351,0.8529,0.0011288,0.0011288,0.0011288
13,802.633,0.75217,0.5494,0.8913,0.9986,0.99237,0.995,0.82975,0.697,0.51934,0.84275,0.0010496,0.0010496,0.0010496
14,854.564,0.73092,0.52907,0.88337,0.99929,0.99237,0.995,0.84054,0.69812,0.49496,0.83195,0.0009704,0.0009704,0.0009704
15,905.305,0.67946,0.49003,0.87186,1,0.99174,0.995,0.8147,0.76578,0.49751,0.8399,0.0008912,0.0008912,0.0008912
16,957.079,0.65442,0.48686,0.84276,1,0.99177,0.995,0.82031,0.74693,0.47941,0.83861,0.000812,0.000812,0.000812
17,1007.43,0.64311,0.45509,0.84532,0.99792,0.99237,0.995,0.81198,0.81044,0.51495,0.84874,0.0007328,0.0007328,0.0007328
18,1055.84,0.64715,0.45462,0.84552,0.99849,0.98473,0.99485,0.83021,0.71271,0.45036,0.82874,0.0006536,0.0006536,0.0006536
19,1136.54,0.63145,0.43348,0.8515,0.99931,0.98473,0.99492,0.82931,0.74306,0.45929,0.83687,0.0005744,0.0005744,0.0005744
20,1292.92,0.60805,0.4206,0.84069,0.99954,0.99237,0.995,0.83352,0.73299,0.43738,0.83451,0.0004952,0.0004952,0.0004952
21,1447.91,0.58662,0.403,0.83579,0.99972,0.99237,0.995,0.85093,0.66655,0.43183,0.81913,0.000416,0.000416,0.000416
22,1588.66,0.57039,0.39675,0.83095,1,0.99201,0.995,0.85019,0.69867,0.4343,0.8242,0.0003368,0.0003368,0.0003368
23,1700.3,0.57026,0.39843,0.82955,0.99932,0.99237,0.995,0.85509,0.6679,0.40375,0.81833,0.0002576,0.0002576,0.0002576
24,1824.79,0.54391,0.37776,0.82363,0.99917,0.99237,0.995,0.85763,0.64928,0.37926,0.81642,0.0001784,0.0001784,0.0001784
25,1992.47,0.52319,0.36103,0.81824,0.99916,0.99237,0.995,0.86607,0.62765,0.37319,0.81205,9.92e-05,9.92e-05,9.92e-05
25,160.443,0.53503,0.3604,0.81719,0.99912,0.99237,0.995,0.86286,0.62689,0.37466,0.80971,9.92e-05,9.92e-05,9.92e-05
